,Unnamed: 0,abstract,journal,publisher,authors,title,date,journal_vol,journal_issue,firstpage,doi,abstract_html,fulltext_html,pdf_url,language,keywords,citation_count,editor_name,editor_surname
48,48,"Reviews the book, Spent: Sex, Evolution, and Consumer Behavior by Geoffery Miller (2009). Following up the tremendous success of âThe Mating Mind,â? Geoffery Miller presents a poignant look into human consumer behavior. In an offering that will be simultaneously enjoyed by both the academic and layperson, Miller deftly illuminates the evolved propensity to signal fitness through the acquisition and display of goods. By breaking down the modern retail market with an evolutionary scope, the author successfully unveils the true origins of the often-wasteful patterns of human consumption in excess. (PsycINFO Database Record (c) 2014 APA, all rights reserved)",PULL_ERROR,NorthEastern Evolutionary Psychology Society,"Crosier, Benjamin S.; Donahue, Kelly",Buyer's remorse: A personal and revealing look into what we want and why we shouldn't.,Sep   2009,3,3,273,10.1037/h0099318,http://psycnet.apa.org/journals/ebs/3/3/273,http://psycnet.apa.org/journals/ebs/3/3/273.html,http://psycnet.apa.org/journals/ebs/3/3/273.pdf,English,buyer's remorse; consumer behavior; sex; evolution,0,not_found,not_found
49,49,"Reviews the books, On Deep History and the Brain by Daniel Lord Smail (2007) and Before the Dawn: Recovering the Lost History of Our Ancestors by Nicholas Wade (2007). Evolution is perhaps the most important historical theory, but is largely ignored by historians. Two recent works, On Deep History and the Brain, by Daniel Lord Smail and Before the Dawn, by Nicholas Wade, show how history and evolution can inform each other to the mutual credit of historians and evolutionists. (PsycINFO Database Record (c) 2014 APA, all rights reserved)",PULL_ERROR,NorthEastern Evolutionary Psychology Society,"Hinshaw, John",History and evolution.,Sep   2009,3,3,278,10.1037/h0099317,http://psycnet.apa.org/journals/ebs/3/3/278,http://psycnet.apa.org/journals/ebs/3/3/278.html,http://psycnet.apa.org/journals/ebs/3/3/278.pdf,English,history; evolution; brain; ancestors,0,not_found,not_found
50,50,"Several theories suggest that religion evolved because it enhanced group cooperation; those individuals who professed a common religious belief cooperated better and therefore enhanced their individual fitness. The present experiment tested this hypothesis by asking participants to assess personality characteristics of unknown individuals who either wore a cross pendant, a symbol of Christianity, or a plain chain, using the Evaluation Of Others Questionnaire (EOOQ). The results indicated that participants who scored high on the Doctrinal Orthodoxy subscale of the Religious Orientation Scales gave greater scores to those wearing the cross pendant on the Kindness/Morality subscale of the EOOQ. This result is consistent with others that reported greater cooperation in economic games. However, here, we show that there does not need to be a competitive environment in order to reveal the increased assessment of kindness and morality, suggesting a potential mechanism for the enhanced cooperation seen in the competitive economic games. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Widman, David R.; Corcoran, Katherine E.; Nagy, Rachel E.",Belonging to the same religion enhances the opinion of others' kindness and morality.,Dec   2009,3,4,281,10.1037/h0099316,http://psycnet.apa.org/journals/ebs/3/4/281,http://psycnet.apa.org/journals/ebs/3/4/281.html,http://psycnet.apa.org/journals/ebs/3/4/281.pdf,English,belongingness; religion; kindness; morality; group cooperation; religious belief,2,not_found,not_found
51,51,"To determine whether or not love acts have changed since Buss first examined them in (1988) and to determine which love acts are perceived as most effective, three studies were implemented. Studies 1 and 2 presented questionnaires to college undergraduates. Study 3 used an internet based questionnaire and included college undergraduates and individuals from other environments. Study 1 (n =81) sought to ascertain the actions that men and women engage in to indicate love to a partner. Men and womenâs love acts were expected to differ. Study 2 (n = 80) sought to ascertain which love acts are considered the most prototypical love acts. The most prominent love acts were expected to be rated as the most prototypical love acts. Study 3 (n = 137) sought to determine which actions are rated as the most effective love acts. The most prototypical love acts from Study 2 were expected to be rated as most effective by both sexes. The results were consistent with the hypotheses. These findings are discussed in terms of prior research. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Wade, T. Joel; Auer, Gretchen; Roth, Tanya M.",What is love: Further investigation of love acts.,Dec   2009,3,4,290,10.1037/h0099315,http://psycnet.apa.org/journals/ebs/3/4/290,http://psycnet.apa.org/journals/ebs/3/4/290.html,http://psycnet.apa.org/journals/ebs/3/4/290.pdf,English,love; love acts; social psychology; interpersonal relationships,0,not_found,not_found
52,52,"Lactation was a critical and defining adaptation for mammals. For most mammals, nursing is a relatively straight-forward process that is largely automatic. Primates however generally require learning to be able to successfully nurse their offspring. Humans are no exception, and in fact, appear to require more learning than most mammals due to the novel sucking technique employed by human infants. Social support is also a crucial factor for breastfeeding success. Breastfeeding was crucial for survival in the evolutionary past, so this leads to an interesting question- why is the absolutely vital skill of breastfeeding so challenging for human mothers to learn? While there, as of yet, no firm answers, I propose three (not necessarily exclusive) possibilities: extremely altriticial infants, challenges due to relatively large breasts, and the (until now) continued presence of learning opportunities in the environment of evolutionary adaptation. Implications for human evolution and modern breastfeeding practices are discussed. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Volk, Anthony A.",Human breastfeeding is not automatic: Why that's so and what it means for human evolution.,Dec   2009,3,4,305,10.1037/h0099314,http://psycnet.apa.org/journals/ebs/3/4/305,http://psycnet.apa.org/journals/ebs/3/4/305.html,http://psycnet.apa.org/journals/ebs/3/4/305.pdf,English,human breastfeeding; human evolution; lactation; mammals; adaptations; social support; nursing,0,not_found,not_found
53,53,"One hundred seventeen children, divided into three age groups (4-, 6-,  8-year-olds) participated in a competitive game with an adult designed to explore advances in childrenâs theory of mind beyond false-belief mastery. Success in the game required children to use the behavioral cues of an opponent (presented via a standardized film) to guide their strategic choices during the game. Such ability indicates an awareness of the informational potential of nonverbal signals to infer the hidden intentions of a partner. Age trends emerged in childrenâs ability to detect signals that reveal information about their partnerâs intentions. Eight-year-olds showed significantly more awareness of the informative value of behavioral cues given by social partners than 4- and 6-year-olds and were significantly more successful at the task. Findings demonstrate that these aspects of Theory of Mind that continue to develop across middle childhood. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Smith, Rachelle; LaFreniere, Peter J.",Development of children's ability to infer intentions from nonverbal cues.,Dec   2009,3,4,315,10.1037/h0099313,http://psycnet.apa.org/journals/ebs/3/4/315,http://psycnet.apa.org/journals/ebs/3/4/315.html,http://psycnet.apa.org/journals/ebs/3/4/315.pdf,English,child development; children abilities; nonverbal cues; theory of mind; cognitive development,0,not_found,not_found
54,54,"This study documents that men and women experience and perform consumer shopping differently, and in ways consistent with adaptations to the sexually dimorphic foraging strategies utilized during recent human evolution. There is an abundant literature on sex differences in spatial abilities and object location that follow from the specific navigational strategies associated with hunting and gathering in the ancestral environment. In addition to sex differences in navigational strategies, the unique features of hunting and gathering may have influenced other aspects of foraging psychology that underlie sex differences in modern male and female shopping experiences and behaviors. Scales were developed to assess several aspects of shopping psychology that may be based on sexually differentiated ancestral adaptations. Results generally confirmed the predicted directions of sex differences. Compared to men, women relied more on object oriented navigation strategies and scored higher on skills and behaviors associated with gathering, the degree to which shopping is seen as recreational, the degree to which shopping is a social activity, and the tendency to see new locations as opportunities for shopping. Men scored higher on skills and behaviors thought to be associated with hunting. Most effect sizes were moderate or strong. These results suggest that shopping experiences and behaviors are influenced by sexually divergent adaptations for gathering and hunting. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Kruger, Daniel; Byker, Dreyson",Evolved foraging psychology underlies sex differences in shoping experiences and behaviors.,Dec   2009,3,4,328,10.1037/h0099312,http://psycnet.apa.org/journals/ebs/3/4/328,http://psycnet.apa.org/journals/ebs/3/4/328.html,http://psycnet.apa.org/journals/ebs/3/4/328.pdf,English,evolved foraging psychology; sex differences; consumer shopping experiences; behaviors; spatial abilities; adaptation,1,not_found,not_found
55,55,"[Correction Notice: An Erratum for this article was reported in Vol 7(3) of Journal of Social, Evolutionary, and Cultural Psychology (see record 2013-41944-007). The middle initial of author Susan M. Hughes was mistakenly omitted. The name appears correctly in this record, and a modified version of the article has been uploaded in place of the original.] We investigated whether participants could infer a speakerâs actual waist-to-hip ratio (WHR) and shoulder-to-hip ratio (SHR) based solely on hearing the targetâs voice. After listening to a voice sample, raters were asked to estimate the speakerâs body configuration by choosing from an array of line-drawn figures depicting variations in WHR and SHR. The estimated WHR (but not SHR) of female speakers predicted the speakersâ actual WHR measurements. In contrast, the estimated SHR (but not WHR) of male speakers predicted the speakersâ actual SHR measurements. Even when choosing from figures depicting variation in both SHR and WHR, the same pattern of sex-specific accuracy in ratings emerged. These findings corroborate previous studies suggesting that the mere sound of a personâs voice may reveal important biological information about their mate value. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Hughes, Susan M.; Harrison, Marissa A.; Gallup Jr., Gordon G.",Sex-specific body configurations can be estimated from voice samples.,Dec   2009,3,4,343,10.1037/h0099311,http://psycnet.apa.org/journals/ebs/3/4/343,http://psycnet.apa.org/journals/ebs/3/4/343.html,http://psycnet.apa.org/journals/ebs/3/4/343.pdf,English,sex differences; body configuration; voice; body image; waist-to-hip ratio; shoulder-to-hip ratio,1,not_found,not_found
56,56,"Previous research has shown a strong connection between body mass index (BMI) and peer aggression and victimization. Here we report on two separate studies investigating this relationship, providing evolutionary interpretations based on intrasexual selection and reproductive competition. The first study investigated self-reported aggression and victimization in 9th grade high school students. Measures of indirect aggression were positively correlated with BMI in females, but not males, while peer victimization was not correlated with BMI in either sex. The second study investigated yearbook photo ratings of aggressiveness and physical attractiveness in 12th grade high school students. Ratings of aggression were positively correlated with BMI in females only, while ratings of attractiveness were negatively correlated with BMI in both males and females. Thus, in two separate samples, self-report measures of aggression and independent ratings of aggressiveness were positively correlated with BMI in female high school students. These findings support recent research suggesting that aggression and victimization among female adolescents may be partially mediated by physical attractiveness levels. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Gallup, Andrew C.; Wilson, David Sloan",Body Mass Index (BMI) and peer aggression in adolescent females: An evolutionary perspective.,Dec   2009,3,4,356,10.1037/h0099310,http://psycnet.apa.org/journals/ebs/3/4/356,http://psycnet.apa.org/journals/ebs/3/4/356.html,http://psycnet.apa.org/journals/ebs/3/4/356.pdf,English,body mass index; peer aggression; adolescent females; evolutionary perspective; victimization,2,not_found,not_found
57,57,"We propose that one area of great importance, which has remained virtually unexamined by evolutionary psychologists, is how individuals maintain their long-term romantic relationships during difficult times. Of those Canadians who marry, the majority remain so until their 30th anniversary, and thus demonstrate the possession of effective techniques for dealing with difficulties and consequently, continuing the relationship. What is interesting is that the field is dominated by studies of issues that represent only small segments of the population (e.g., the behaviour of those who are single or seeking an alternative mate) and often in a specific and unreached stage of a romantic relationship (e.g., mate poaching or dissolution). The danger in the field having such limited focus is that it could lead to a view of committed relationships based on what is âabnormalâ? as opposed to what is ânormal.â? We follow our theoretical review with an exploratory study on relationship maintenance, as a first step in the investigation of this overlooked area. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Fisher, Maryanne; Cox, Anthony; Shaw, Sarah",Working towards a model of normative behavior for long-term committed relationships.,Dec   2009,3,4,372,10.1037/h0099309,http://psycnet.apa.org/journals/ebs/3/4/372,http://psycnet.apa.org/journals/ebs/3/4/372.html,http://psycnet.apa.org/journals/ebs/3/4/372.pdf,English,normative behavior; committed relationships; romantic relationships; evolutionary psychologists,0,not_found,not_found
58,58,"In this paper, we focus on the titles of popular modern romance novels, published by Harlequin Enterprises, in order to ascertain whether these books pertain to womenâs sex-specific mating interests. Presumably, market demands have shaped the titles of Harlequins, such that books with titles that reflect topics of interest to women will sell the best. Two forms of analysis were undertaken to investigate whether the titles are in agreement with predictions informed by evolutionary psychology. First, we identified the most frequently occurring words to determine the most prevalent issues addressed by titles. Second, we performed a qualitative analysis to identify the most popular, recurring themes that appear in the titles. Our results indicate that Harlequin romance novel titles are congruent with womenâs sex-specific mating strategies, which is surmised to be the reason for their continued international success. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Cox, Anthony; Fisher, Maryanne",The Texas billionaire's pregnant bride: An evolutionary interpretation of romance fiction titles.,Dec   2009,3,4,386,10.1037/h0099308,http://psycnet.apa.org/journals/ebs/3/4/386,http://psycnet.apa.org/journals/ebs/3/4/386.html,http://psycnet.apa.org/journals/ebs/3/4/386.pdf,English,evolutionary psychology; romance novels; sex-specific mating strategies; Harlequins,0,not_found,not_found
59,59,"In recent years there has been a marked increase in the number of books and articles produced by the so-called ânew atheists,â? led by authors such as Richard Dawkins and Daniel Dennett. However, while Dawkinsâ concept of memes is, in many ways, at least partially a linguistic concept, indicating that Darwinian processes can impact cultural forms, little work has been done on incorporating linguistics from an evolutionary perspective into works on the origins of the belief in god(s) and general religious faith. This paper analyzes linguistics and their connections to supernatural beliefs using works from comparative and evolutionary biology, theoretical biology, comparative religion, neural networks, linguistics, and philosophy. I ultimately show how the metaphoric and semiotic nature of human cognition could have possibly developed and how this could have led to a belief in god(s) and the supernatural. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Avery-Natale, Edward",The god metaphor.,Dec   2009,3,4,402,10.1037/h0099307,http://psycnet.apa.org/journals/ebs/3/4/402,http://psycnet.apa.org/journals/ebs/3/4/402.html,http://psycnet.apa.org/journals/ebs/3/4/402.pdf,English,god metaphor; books; new atheists; linguistic concepts; memes; faith,0,not_found,not_found
60,60,"Presents a collection of abstracts of the Proceedings of the 3rd Annual Meeting of the Northeastern Evolutionary Psychology Society of The Journal of Social, Evolutionary, and Cultural Psychology. (PsycINFO Database Record (c) 2014 APA, all rights reserved)",PULL_ERROR,NorthEastern Evolutionary Psychology Society,No authorship indicated,Proceedings of the 3rd Annual Meeting of the Northeastern Evolutionary Psychology Society: Abstracts.,Dec   2009,3,4,416,10.1037/h0099306,http://psycnet.apa.org/journals/ebs/3/4/416,http://psycnet.apa.org/journals/ebs/3/4/416.html,http://psycnet.apa.org/journals/ebs/3/4/416.pdf,English,Northeastern evolutionary psychology; society; cultural psychology,0,not_found,not_found
61,61,"Males appear to focus more on physical cues in evaluating female attractiveness whereas females consider a wider range of evaluative criterion including possibly other femaleâs opposite-sex interest, with similar proclivities being documented in a range of non-human species. Two experiments were conducted to investigate such âmate-copyingâ tendencies in humans. Male and female undergraduates (Experiment 1) were asked to rate the attractiveness of a photographically presented opposite-sex target model either alone or surrounded by same-sex peers instructed to simulate attraction to the opposite-sex target. Other male and female undergraduates (Experiment 2) rated the attractiveness of the same model presented with either no information relating to previous participantâs attractiveness ratings or artificially enhanced, fictional rating information. Both sexes rated models higher when provided with elevated rating information, however, no sex-differences were evident thus demonstrating equal conformity levels. With visual simulated attraction cues, however, females but not males were influenced by other femalesâ attraction to the model, thus providing evidence for mate copying in human females. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Dunn, Michael J.; Doria, Maria V.",Simulated attraction increases opposite sex attractiveness ratings in females but not males.,Jan   2010,4,1,1,10.1037/h0099305,http://psycnet.apa.org/journals/ebs/4/1/1,http://psycnet.apa.org/journals/ebs/4/1/1.html,http://psycnet.apa.org/journals/ebs/4/1/1.pdf,English,mate-copying; physical attractiveness; facial attractiveness; target models; conformity sex-differences; sexual selection,0,not_found,not_found
62,62,"Magical thinking has often been viewed as a cognitive mistake rooted in a poor understanding of causality, which can be fixed with education and experience. However, an alternative interpretation is that magical thinking may be highly adaptive in specific situations. This article attempts a theoretical argument that although magical thinking may be illogical, it does provide survival benefits, specifically the modification of anxiety. Based on the previous assumption there would exist an asymmetric survival cost between magical and logical thinking for situations dealing with unmanageable threats. Given that unmanageable threats cause anxiety, and are unlikely to be influenced by human action, and anxiety has a negative influence on an individualâs health, memory, and task performance, we can conclude magical thinking could be viewed as something more than a cognitive mistake. Instead magical thinking should be viewed as an adaptive and functional cognitive tool which is an evolutionary by-product or adaptation. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Markle, D. Thomas",The magic that binds us: Magical thinking and inclusive fitness.,Jan   2010,4,1,18,10.1037/h0099304,http://psycnet.apa.org/journals/ebs/4/1/18,http://psycnet.apa.org/journals/ebs/4/1/18.html,http://psycnet.apa.org/journals/ebs/4/1/18.pdf,English,magical thinking; superstition; anxiety management; adaptive tool,1,not_found,not_found
63,63,"Participants in the present study completed an online questionnaire that assessed empathy for a list of animals and perceived empathic and communicative abilitiesâanthropomorphic attributionsâof said list of animals varying in phylogenetic relatedness to humans. Results showed near-perfect relationships between perceived empathic and communicative variables, and near-perfect relationships between these variables and phylogenetic relatedness to humans. Further, the majority of participants were more likely to use the animate pronouns âheâ? and âsheâ? versus the inanimate pronoun âitâ? when referring to all animal exemplars except invertebrates, and this animate pronoun use was highly correlated with phylogenetic relatedness to humans. These data substantiate that the tendency to anthropomorphize varies with a speciesâ genetic relatedness to humans. Further, these data provide evidence for the interconnectedness of empathy and communication and highlight the relationship between these cognitive processes and anthropomorphism. The relationship between anthropomorphism and animal welfare is discussed. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Harrison, Marissa A.; Hall, A. E.","Anthropomorphism, empathy, and perceived communicative ability vary with phylogenetic relatedness to humans.",Jan   2010,4,1,34,10.1037/h0099303,http://psycnet.apa.org/journals/ebs/4/1/34,http://psycnet.apa.org/journals/ebs/4/1/34.html,http://psycnet.apa.org/journals/ebs/4/1/34.pdf,English,anthropomorphism; empathy; phylogenetic relatedness; animal welfare,0,not_found,not_found
64,64,"Reviews the book, Hooking Up: Sex, Dating and Relationship by K. Bogle (2008). The author reviews the cultural phenomenon of ""hooking up"". Her primary focus is on the historical and contextual changes that have occurred over the last few decades that lead to these uncommitted sexual encounters replacing the traditional dating script on university and college campuses. This book may be of interest to those determined to better elucidate the behaviors, outcomes, and feelings associated with this recent sexual interaction, as the two-way dialogue between the author and her interviewees offers a depth of questioning not afforded to researchers relying on exclusively on surveys. One central theme that the book addresses is the sex differences noted in the author's interviews. One of the most unsettling aspects of the book was that females were portrayed as desperate to find long term partners in a male dominated sexual ""playground,"" a theme that requires balance. The author suggests that the growing inequality of numbers of women and men on campuses have resulted in men becoming a scarce resource for which women need to compete. Indeed one of its most notable strengths lay in the fact that it is based on one-on-one interviews that allowed for follow-up questions and clarifications of responses, a luxury not granted to the researcher using anonymous surveying techniques. This qualitative approach fills a very obvious void in the growing body of literature on uncommitted sexual experiences. (PsycINFO Database Record (c) 2014 APA, all rights reserved)",PULL_ERROR,NorthEastern Evolutionary Psychology Society,"Worth, Kerry; Fisher, Maryanne","Review of <em>Hooking up: Sex, dating and relationships on campus</em>.",Jan   2010,4,1,49,10.1037/h0099302,http://psycnet.apa.org/journals/ebs/4/1/49,http://psycnet.apa.org/journals/ebs/4/1/49.html,http://psycnet.apa.org/journals/ebs/4/1/49.pdf,English,hooking up; casual sex; social norms; evolutionary perspective; mating strategies,0,not_found,not_found
65,65,"Life history theory is a mid-level evolutionary approach that is increasingly being utilized in psychology to examine ontogenetic development. In life history theory there are two prototypical strategies for facing the challenges of growth and reproduction. Differences in these strategies have primarily been thought to be caused by genetics, early life experiences, or a combination thereof as seen in gene x environment correlations and interactions. Although not exclusive of other views, an alternative view is that life history strategies afford a degree of behavioral flexibility and are adjusted based on situational cues. The cue examined in the current study was life expectancy. In support of this idea, when life expectancy was manipulated a change in mating preferences was recorded that was in line with the hypothesis. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Dunkel, Curt; Mathes, Eugene; Decker, Michelle",Behavioral flexibility in life history strategies: The role of life expectancy.,May   2010,4,2,51,10.1037/h0099301,http://psycnet.apa.org/journals/ebs/4/2/51,http://psycnet.apa.org/journals/ebs/4/2/51.html,http://psycnet.apa.org/journals/ebs/4/2/51.pdf,English,behavioral flexibility; life history theory; life expectancy; mating strategies,2,not_found,not_found
66,66,"In comparison to genetic children, stepchildren receive less parental investment, in accordance with the theory of discriminative parental solicitude. The present study investigated this bias in parental funding of ""The Great Journey"" that many Israeli youths embark on after their military serviceâtypically a backpacking tour in Asia or Latin America. In the current study, 82 studentsâabout half with divorced parentsâreported the amount of funding they had received for their ""Great Journey."" As expected, children whose genetic parents were married received more money to fund their trip than children whose genetic parents were divorced, even after controlling for sex, age, and family income. A novel finding of the study was that youths who were raised by stepfathers received more money for their trip than youths who were raised by stepmothers. This finding is in accordance with the notion that stepfathers use parental investment as a mating strategy. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Tifferet, Sigal; Jorev, Sharon; Nasanovitz, Rinat","Lower parental investment in stepchildren: The case of the Israeli ""Great Journey.""",May   2010,4,2,62,10.1037/h0099300,http://psycnet.apa.org/journals/ebs/4/2/62,http://psycnet.apa.org/journals/ebs/4/2/62.html,http://psycnet.apa.org/journals/ebs/4/2/62.pdf,English,parental investment; stepchildren; funding,3,not_found,not_found
67,67,"In an attempt to demonstrate the uniqueness of affective experiences in an African setting, trait differences in attention to emotion and somatic-focused awareness were explored in a two-study investigation using Ghanaian and Euro-American university student samples. Study 1 showed that Ghanaian participants paid more attention to their body and less to emotions than did American participants. Study 2 replicated the findings of Study 1. Together, the studies provide quantitative evidence for an aspect of the affective experience in an African setting previously documented qualitativelyâa focus towards the internal body in emotion states, and highlight the role of psychologization in emotion differences across cultures. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Dzokoto, Vivian",Different ways of feeling: Emotion and somatic awareness in Ghanaians and Euro-Americans.,May   2010,4,2,68,10.1037/h0099299,http://psycnet.apa.org/journals/ebs/4/2/68,http://psycnet.apa.org/journals/ebs/4/2/68.html,http://psycnet.apa.org/journals/ebs/4/2/68.pdf,English,emotions; somatic awareness; experiences; attention; emotional states; Ghanaians; Euro-Americans,4,not_found,not_found
68,68,"To investigate how cultural values are practiced in real-life settings, the present study explored strategic aspects of cultural schema, which function in actual execution of culturally valued behavior. We focused on Self-denigrating Humor Schema (SHS), referring to a knowledge structure, which guides a person to produce laughter and to present the deprecated self, so that the person can construct friendly relationships with others. We believe that people from the Kansai Province (Osaka-area in Japan) have acquired strategic aspects of SHS, a concrete and direct knowledge of how self-denigrating humor should actually be carried-out to develop relationships. Consequently, they would utilize the strategies of producing laughter and presenting the deprecated self, while engaging in blunder-telling behavior; one type of daily self-denigrating humor. To test this expectation, employing a pen-and-paper method, we asked 57 Kansai and 48 Kanto university students (a comparison group) to exaggerate a blunder-story, in open-end format. Overall, the expected results were demonstrated, suggesting that strategic aspects of cultural schema are a key for investigating how people engage differently in culturally valued behavior in different daily contexts. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Niwa, Sora; Maruno, Shun'ichi",Strategic aspects of cultural schema: A key for examining how cultural values are practiced in real-life settings.,May   2010,4,2,79,10.1037/h0099298,http://psycnet.apa.org/journals/ebs/4/2/79,http://psycnet.apa.org/journals/ebs/4/2/79.html,http://psycnet.apa.org/journals/ebs/4/2/79.pdf,English,cultural values; cultural schema; interpersonal interactions; self-denigrating humor,0,not_found,not_found
69,69,"Reviews the book Catching Fire: How Cooking Made Us Human by Richard Wrangham (2009). Richard Wrangham has written another elegantly written and argued book. His thesis is encapsulated in his subtitle. Using a variety of data, he argues that humans developed cooking much earlier than previously thought, approximately two million years ago. Cooking allowed humans to develop large brains, to specialize in hunting, to pair bond, and facilitated sharing resources between mates and non-kin. In short, cooking allowed us to become unique among the primates. (PsycINFO Database Record (c) 2014 APA, all rights reserved)",PULL_ERROR,NorthEastern Evolutionary Psychology Society,"Hinshaw, John Hendrix",Which came first: Cooking or patriarchy?,May   2010,4,2,92,10.1037/h0099297,http://psycnet.apa.org/journals/ebs/4/2/92,http://psycnet.apa.org/journals/ebs/4/2/92.html,http://psycnet.apa.org/journals/ebs/4/2/92.pdf,English,cooking; patriarchy; diets; hunting; starvation; human evolution,0,not_found,not_found
70,70,"It is now known that in addition to their psychological and behavioural symptoms, chronic depressive illnesses have damaging effects on both the immune and cardiovascular systems. Given that similar patterns are found in other species, there is a need to determine how such seemingly disadvantageous mechanisms could have persisted over evolutionary timescales. This paper offers an answer by applying inclusive fitness theory to the process of mate selection. To mate selectors, the value of direct observation is limited by the phenotype/genotype disparity. Although it does not seem to have been previously suggested, there is evidence that natural selection has partially circumvented this limitation by favouring the use of the stockbreeding technique of obtaining additional genetic information from a candidateâs close kin. One implication of this is that individuals much less well fitted than their kin can have a negative impact upon the reproductive success of their abler relatives. Indeed, the point could be reached at which the aggregate reputational damage they inadvertently cause imposes reproductive penalties across their kin group substantially in excess of their own likely reproductive contribution. Under such circumstances, as a form of damage control, inclusive fitness considerations would favour the emergence of autonomic mechanisms serving rapidly to eliminate the less well fitted individual. Severe depression, given how life-threatening its symptoms would have been in any imaginable Era of Evolutionary Adaption, could have evolved to bring this about. In this paper, literature relating to: mate choice among peacocks, an island population affected by a debilitating genetic disease, the stigmatisation of families of psychiatric patients, the determinants of self-esteem, and the psychological factors underpinning human health and happiness has been reviewed against four hypotheses derived what the author terms ""stigma theory"". Although much remains to be done, the initial findings are strongly supportive. Stigma theoryâs relevance to non-reciprocal altruism to unrelated others, social conformity and the current epidemic of depressive illness are discussed. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Waller, Mike","Family stigma, sexual selection and the evolutionary origins of severe depressionâ&euro;&trade;s physiological consequences.",May   2010,4,2,94,10.1037/h0099296,http://psycnet.apa.org/journals/ebs/4/2/94,http://psycnet.apa.org/journals/ebs/4/2/94.html,http://psycnet.apa.org/journals/ebs/4/2/94.pdf,English,family stigma; sexual selection; evolutionary origins; depression; natural selection; inclusive-fitness; altruism,1,not_found,not_found
